实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.hfg6.large,2,8,1/3,30万,3.5万,2,2,6,1,1万,1
ecs.hfg6.xlarge,4,16,1.5/5,50万,7万,4,3,10,1,2万,1.5
ecs.hfg6.2xlarge,8,32,2.5/8,80万,15万,8,4,10,1,2.5万,2
ecs.hfg6.3xlarge,12,48,4/10,90万,22万,8,6,10,1,3万,2.5
ecs.hfg6.4xlarge,16,64,5/10,100万,30万,8,8,20,1,4万,3
ecs.hfg6.6xlarge,24,96,7.5/10,150万,45万,12,8,20,1,5万,4
ecs.hfg6.8xlarge,32,128,10/无,200万,60万,16,8,20,1,6万,5
ecs.hfg6.10xlarge,40,192,12.5/无,300万,100万,32,7,20,1,10万,8
ecs.hfg6.16xlarge,64,256,20/无,400万,120万,32,8,20,1,12万,10
ecs.hfg6.20xlarge,80,384,25/无,600万,180万,32,15,20,1,20万,16
