实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘基础IOPS,云盘基础带宽（Gbit/s）
ecs.hfr6.large,2,16,1/3,30万,3.5万,2,2,6,1,1万,1
ecs.hfr6.xlarge,4,32,1.5/5,50万,7万,4,3,10,1,2万,1.5
ecs.hfr6.2xlarge,8,64,2.5/8,80万,15万,8,4,10,1,2.5万,2
ecs.hfr6.3xlarge,12,96,4/10,90万,22万,8,6,10,1,3万,2.5
ecs.hfr6.4xlarge,16,128,5/10,100万,30万,8,8,20,1,4万,3
ecs.hfr6.6xlarge,24,192,7.5/10,150万,45万,12,8,20,1,5万,4
ecs.hfr6.8xlarge,32,256,10/无,200万,60万,16,8,20,1,6万,5
ecs.hfr6.10xlarge,40,384,12.5/无,300万,100万,32,7,20,1,10万,8
ecs.hfr6.16xlarge,64,512,20/无,400万,120万,32,8,20,1,12万,10
ecs.hfr6.20xlarge,80,768,25/无,600万,180万,32,15,20,1,20万,16
