套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,"数据盘容量(GB,本地SSD)",连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数
AC4.2B,2,ARM计算型,4,30,1.5,2.0,2.0,6.0,,,,,,,,
AC4.2C,2,ARM计算型,8,30,1.5,2.0,2.0,6.0,,,,,,,,
AC4.4B,4,ARM计算型,8,50,2.0,3.0,4.0,6.0,,,,,,,,
AC4.4C,4,ARM计算型,16,50,2.0,3.0,4.0,6.0,,,,,,,,
AC4.8B,8,ARM计算型,16,80,3.0,4.0,8.0,10.0,,,,,,,,
AC4.8C,8,ARM计算型,32,80,3.0,4.0,8.0,10.0,,,,,,,,
AC4.16B,16,ARM计算型,32,150,6.0,8.0,16.0,20.0,,,,,,,,
AC4.16C,16,ARM计算型,64,150,6.0,8.0,16.0,20.0,,,,,,,,
AC4.32B,32,ARM计算型,64,300,12.0,8.0,16.0,20.0,,,,,,,,
AC4.32C,32,ARM计算型,128,300,12.0,8.0,16.0,20.0,,,,,,,,
AC4.64B,64,ARM计算型,128,500,20.0,8.0,16.0,20.0,,,,,,,,
AC5.2A,2,ARM计算型,2,100,1.5,3.0,2.0,6.0,,,,,,,,
AC5.2B,2,ARM计算型,4,100,1.5,3.0,2.0,6.0,,,,,,,,
AC5.2C,2,ARM计算型,8,100,1.5,3.0,2.0,6.0,,,,,,,,
AC5.4A,4,ARM计算型,4,120,1.5,4.0,4.0,15.0,,,,,,,,
AC5.4B,4,ARM计算型,8,120,1.5,4.0,4.0,15.0,,,,,,,,
AC5.4C,4,ARM计算型,16,120,1.5,4.0,4.0,15.0,,,,,,,,
AC5.8B,8,ARM计算型,16,160,3.0,4.0,8.0,15.0,,,,,,,,
AC5.8C,8,ARM计算型,32,160,3.0,4.0,8.0,15.0,,,,,,,,
AC5.12B,12,ARM计算型,24,240,3.0,8.0,12.0,15.0,,,,,,,,
AC5.12C,12,ARM计算型,48,240,5.0,8.0,12.0,15.0,,,,,,,,
AC5.16B,16,ARM计算型,32,300,5.0,8.0,16.0,30.0,,,,,,,,
AC5.16C,16,ARM计算型,64,300,5.0,8.0,16.0,30.0,,,,,,,,
AC5.24B,24,ARM计算型,48,450,10.0,8.0,24.0,30.0,,,,,,,,
AC5.24C,24,ARM计算型,96,450,10.0,8.0,24.0,30.0,,,,,,,,
AC5.32B,32,ARM计算型,64,600,15.0,8.0,32.0,30.0,,,,,,,,
AC5.32C,32,ARM计算型,128,600,15.0,8.0,32.0,30.0,,,,,,,,
AC5.48B,48,ARM计算型,96,900,20.0,8.0,32.0,30.0,,,,,,,,
AC5.48B,48,ARM计算型,192,900,20.0,8.0,32.0,30.0,,,,,,,,
AC5.64B,64,ARM计算型,128,1200,25.0,8.0,32.0,30.0,,,,,,,,
